numero,nombre,edad,teamTo,teamFrom,leagueTo,leagueFrom,totalCost, year,
231,Florent Sinama-Pongolle,22,Recr. Huelva,Liverpool,LaLiga,Premier League,4.00.,2007,
232,Marcus Berg,21,FC Groningen,IFK Goteborg,Eredivisie,Allsvenskan,4.00.,2007,
233,Ricardo,31,Real Betis,Sporting CP,LaLiga,Liga NOS,4.00.,2007,
234,Ricardo Costa,26,VfL Wolfsburg,FC Porto,1.Bundesliga,Liga NOS,4.00.,2007,
235,Ionut Mazilu,25,Dnipro,Rapid Bucharest,Premier Liga,Liga 1,4.00.,2007,
236,Garry O'Connor,24,Birmingham,Loko Moscow,Premier League,Premier Liga,4.00.,2007,
237,Souza,28,Paris SG,Sao Paulo,Ligue 1,Serie A,4.00.,2007,
238,Edin Dzeko,21,VfL Wolfsburg,FK Teplice,1.Bundesliga,HET Liga,4.00.,2007,
239,Malik Fathi,24,Spartak Moscow,Hertha BSC,Premier Liga,1.Bundesliga,4.00.,2007,
240,Ernesto Farias,27,FC Porto,River Plate,Liga NOS,Torneo Final,4.00.,2007,
241,Daniele Cacia,24,Fiorentina,Piacenza,Serie A,Serie B,4.00.,2007,
242,Marlon King,27,Wigan,Watford,Premier League,Championship,4.00.,2007,
243,Hector Moreno,19,AZ Alkmaar,Pumas,Eredivisie,Liga MX Clausura,4.00.,2007,
244,Nicolas Navarro,22,SSC Napoli,Argentinos,Serie A,Torneo Final,4.00.,2007,
245,Nicolas Lombaerts,22,Zenit S-Pb,KAA Gent,Premier Liga,Jupiler Pro League,4.00.,2007,
246,Dimitri Payet,20,Saint-Etienne,FC Nantes,Ligue 1,Ligue 2,4.00.,2007,
247,Gorka Iraizoz,26,Athletic Bilbao,Espanyol,LaLiga,LaLiga,4.00.,2007,
248,Antonio Floro Flores,24,Udinese Calcio,Arezzo,Serie A,Serie C - B,4.00.,2007,
249,Adel Taarabt,18,Spurs,Lens,Premier League,Ligue 1,4.00.,2007,
250,Cata Diaz,27,Getafe CF,Boca Juniors,LaLiga,Torneo Final,4.00.,2007,
1,Robinho,24,Man City,Real Madrid,Premier League,LaLiga,43.00.,2008,
2,Dimitar Berbatov,27,Man Utd,Spurs,Premier League,Premier League,38.00.,2008,
3,Dani Alves,25,FC Barcelona,Sevilla FC,LaLiga,LaLiga,35.50.,2008,
4,Danny,25,Zenit S-Pb,Dinamo Moscow,Premier Liga,Premier Liga,30.00.,2008,
5,Klaas-Jan Huntelaar,25,Real Madrid,AFC Ajax,LaLiga,Eredivisie,27.00.,2008,
6,Ronaldinho,28,AC Milan,FC Barcelona,Serie A,LaLiga,25.00.,2008,
7,Ricardo Quaresma,24,Inter,FC Porto,Serie A,Liga NOS,24.60.,2008,
8,Robbie Keane,28,Liverpool,Spurs,Premier League,Premier League,24.00.,2008,
9,Jo,21,Man City,CSKA Moscow,Premier League,Premier Liga,24.00.,2008,
10,Amauri,28,Juventus,US Palermo,Serie A,Serie A,22.80.,2008,
11,Javier Mascherano,24,Liverpool,West Ham,Premier League,Premier League,22.50.,2008,
12,David Bentley,23,Spurs,Blackburn,Premier League,Premier League,22.00.,2008,
13,Marouane Fellaini,20,Everton,Standard Liege,Premier League,Jupiler Pro League,21.76.,2008,
14,Luka Modric,22,Spurs,Dinamo Zagreb,Premier League,1.HNL,21.00.,2008,
15,Jose Bosingwa,25,Chelsea,FC Porto,Premier League,Liga NOS,20.50.,2008,
16,Lassana Diarra,23,Real Madrid,Portsmouth FC,LaLiga,Premier League,20.00.,2008,
17,Hulk,22,FC Porto,Tokyo Verdy,Liga NOS,J1 League,19.00.,2008,
18,Nigel de Jong,24,Man City,Hamburger SV,Premier League,1.Bundesliga,18.00.,2008,
19,Roman Pavlyuchenko,26,Spurs,Spartak Moscow,Premier League,Premier Liga,17.40.,2008,
20,Aleksandr Hleb,27,FC Barcelona,Arsenal,LaLiga,Premier League,17.00.,2008,
21,Robbie Keane,28,Spurs,Liverpool,Premier League,Premier League,16.70.,2008,
22,Andrey Arshavin,27,Arsenal,Zenit S-Pb,Premier League,Premier Liga,16.50.,2008,
23,Martin Caceres,21,FC Barcelona,Villarreal CF,LaLiga,LaLiga,16.50.,2008,
24,Jermain Defoe,26,Spurs,Portsmouth FC,Premier League,Premier League,16.40.,2008,
25,Miralem Sulejmani,19,AFC Ajax,Heerenveen,Eredivisie,Eredivisie,16.25.,2008,
26,Samir Nasri,21,Arsenal,Marseille,Premier League,Ligue 1,16.00.,2008,
27,Craig Bellamy,29,Man City,West Ham,Premier League,Premier League,15.50.,2008,
28,Rafael van der Vaart,25,Real Madrid,Hamburger SV,LaLiga,1.Bundesliga,15.00.,2008,
29,Sulley Muntari,23,Inter,Portsmouth FC,Serie A,Premier League,15.00.,2008,
30,James Milner,22,Aston Villa,Newcastle,Premier League,Premier League,15.00.,2008,
31,Wilson Palacios,24,Spurs,Wigan,Premier League,Premier League,15.00.,2008,
32,Ederson,22,Olympique Lyon,OGC Nice,Ligue 1,Ligue 1,14.90.,2008,
33,Alberto Gilardino,26,Fiorentina,AC Milan,Serie A,Serie A,14.00.,2008,
34,Jean II Makoun,25,Olympique Lyon,LOSC Lille,Ligue 1,Ligue 1,14.00.,2008,
35,Andrea Barzagli,27,VfL Wolfsburg,US Palermo,1.Bundesliga,Serie A,14.00.,2008,
36,Daniel Guiza,27,Fenerbahce,RCD Mallorca,Super Lig,LaLiga,14.00.,2008,
37,Seydou Keita,28,FC Barcelona,Sevilla FC,LaLiga,LaLiga,14.00.,2008,
38,Vedran Corluka,22,Spurs,Man City,Premier League,Premier League,13.75.,2008,
39,Peter Crouch,27,Portsmouth FC,Liverpool,Premier League,Premier League,13.70.,2008,
40,Andy Johnson,27,Fulham,Everton,Premier League,Premier League,13.30.,2008,
41,Mancini,27,Inter,AS Roma,Serie A,Serie A,13.00.,2008,
42,Diego Milito,29,Genoa,Real Zaragoza,Serie A,LaLiga2,13.00.,2008,
43,Fabricio Coloccini,26,Newcastle,Dep. La Coruna,Premier League,LaLiga,13.00.,2008,
44,Wayne Bridge,28,Man City,Chelsea,Premier League,Premier League,13.00.,2008,
45,Johan Elmander,27,Bolton,Toulouse,Premier League,Ligue 1,12.60.,2008,
46,Juan Vargas,24,Fiorentina,Catania,Serie A,Serie A,12.00.,2008,
47,Hatem Ben Arfa,21,Marseille,Olympique Lyon,Ligue 1,Ligue 1,12.00.,2008,
48,Jeremy Menez,21,AS Roma,Monaco,Serie A,Ligue 1,12.00.,2008,
49,Domenico Criscito,21,Genoa,Juventus,Serie A,Serie A,11.50.,2008,
50,Shaun Wright-Phillips,26,Man City,Chelsea,Premier League,Premier League,11.25.,2008,
51,Gianluca Zambrotta,31,AC Milan,FC Barcelona,Serie A,LaLiga,10.50.,2008,
52,Rafael Sobis,23,Al-Jazira,Real Betis,United Arab Emirates,LaLiga,10.50.,2008,
53,Luca Cigarini,22,Atalanta,Parma,Serie A,Serie B,10.50.,2008,
54,Deco,30,Chelsea,FC Barcelona,Premier League,LaLiga,10.00.,2008,
55,Jefferson Farfan,23,FC Schalke 04,PSV Eindhoven,1.Bundesliga,Eredivisie,10.00.,2008,
56,Julio Baptista,26,AS Roma,Real Madrid,Serie A,LaLiga,10.00.,2008,
57,Ricardo Oliveira,28,Real Zaragoza,AC Milan,LaLiga2,Serie A,10.00.,2008,
58,Ezequiel Garay,21,Real Madrid,Racing,LaLiga,LaLiga,10.00.,2008,
59,Thiago Silva,24,AC Milan,Fluminense,Serie A,Serie A,10.00.,2008,
60,Johnny Heitinga,24,Atletico Madrid,AFC Ajax,LaLiga,Eredivisie,10.00.,2008,
61,Sergio Garcia,25,Real Betis,Real Zaragoza,LaLiga,LaLiga2,10.00.,2008,
62,Carlos Cuellar,26,Aston Villa,Rangers,Premier League,Premiership,10.00.,2008,
63,Florent Sinama-Pongolle,23,Atletico Madrid,Recr. Huelva,LaLiga,LaLiga,10.00.,2008,
64,Anton Ferdinand,23,Sunderland,West Ham,Premier League,Premier League,10.00.,2008,
65,Curtis Davies,23,Aston Villa,West Brom,Premier League,Premier League,10.00.,2008,
66,Albert Riera,26,Liverpool,Espanyol,Premier League,LaLiga,9.80.,2008,
67,Christian Poulsen,28,Juventus,Sevilla FC,Serie A,LaLiga,9.75.,2008,
68,Marco Borriello,26,AC Milan,Genoa,Serie A,Serie A,9.00.,2008,
69,Ricardo Oliveira,28,Real Betis,Real Zaragoza,LaLiga,LaLiga2,9.00.,2008,
70,Giampaolo Pazzini,24,Sampdoria,Fiorentina,Serie A,Serie A,9.00.,2008,
71,Thiago Neves,23,Hamburger SV,Fluminense,1.Bundesliga,Serie A,9.00.,2008,
72,Bakari Kone,26,Marseille,OGC Nice,Ligue 1,Ligue 1,9.00.,2008,
73,Shay Given,32,Man City,Newcastle,Premier League,Premier League,9.00.,2008,
74,Heurelho Gomes,27,Spurs,PSV Eindhoven,Premier League,Eredivisie,9.00.,2008,
75,Andrea Dossena,26,Liverpool,Udinese Calcio,Premier League,Serie A,9.00.,2008,
76,Marcelo Moreno,21,Shakhtar D.,Cruzeiro,Premier Liga,Serie A,9.00.,2008,
77,Kim,28,Al-Arabi,AS Nancy,Qatar,Ligue 1,9.00.,2008,
78,Diogo,21,Olympiacos,Portuguesa,Super League,Serie A,9.00.,2008,
79,Pablo Zabaleta,23,Man City,Espanyol,Premier League,LaLiga,8.70.,2008,
80,Hugo Lloris,21,Olympique Lyon,OGC Nice,Ligue 1,Ligue 1,8.50.,2008,
81,Vincent Kompany,22,Man City,Hamburger SV,Premier League,1.Bundesliga,8.50.,2008,
82,Romaric,25,Sevilla FC,Le Mans,LaLiga,Ligue 1,8.50.,2008,
83,Abdoulay Konko,24,Sevilla FC,Genoa,LaLiga,Serie A,8.50.,2008,
84,Savio Nsereko,19,West Ham,Brescia,Premier League,Serie B,8.50.,2008,
85,John Mensah,25,Olympique Lyon,Stade Rennais,Ligue 1,Ligue 1,8.40.,2008,
86,Marcell Jansen,22,Hamburger SV,Bayern Munich,1.Bundesliga,1.Bundesliga,8.00.,2008,
87,Christian Maggio,26,SSC Napoli,Sampdoria,Serie A,Serie A,8.00.,2008,
88,Stevan Jovetic,18,Fiorentina,Partizan,Serie A,SuperLiga,8.00.,2008,
89,Henrique,21,FC Barcelona,Desp. Brasil,LaLiga,Brazil,8.00.,2008,
90,Asamoah Gyan,22,Stade Rennais,Udinese Calcio,Ligue 1,Serie A,8.00.,2008,
91,Loic Remy,21,OGC Nice,Olympique Lyon,Ligue 1,Ligue 1,8.00.,2008,
92,Jorge Valdivia,24,Al-Ain FC,Palmeiras,United Arab Emirates,Serie A,8.00.,2008,
93,Amara Diane,25,Al-Rayyan,Paris SG,Qatar,Ligue 1,8.00.,2008,
94,Felipe Melo,25,Fiorentina,UD Almeria,Serie A,LaLiga,8.00.,2008,
95,Stephane Sessegnon,24,Paris SG,Le Mans,Ligue 1,Ligue 1,8.00.,2008,
96,Damian Escudero,21,Villarreal CF,CA Velez,LaLiga,Torneo Final,8.00.,2008,
97,Cesare Bovo,25,US Palermo,Genoa,Serie A,Serie A,7.85.,2008,
98,Antonio Nocerino,23,US Palermo,Juventus,Serie A,Serie A,7.50.,2008,
99,Pablo Aimar,28,Benfica,Real Zaragoza,Liga NOS,LaLiga2,7.50.,2008,
100,Miralem Pjanic,18,Olympique Lyon,FC Metz,Ligue 1,Ligue 2,7.50.,2008,
101,Juan Pablo Carrizo,24,Lazio,River Plate,Serie A,Torneo Final,7.50.,2008,
102,Mladen Petric,27,Hamburger SV,Bor. Dortmund,1.Bundesliga,1.Bundesliga,7.30.,2008,
103,German Denis,26,SSC Napoli,Independiente,Serie A,Torneo Final,7.10.,2008,
104,Achille Emana,26,Real Betis,Toulouse,LaLiga,Ligue 1,7.00.,2008,
105,Cristian Zaccardo,26,VfL Wolfsburg,US Palermo,1.Bundesliga,Serie A,7.00.,2008,
106,Rolando Bianchi,25,Torino,Man City,Serie A,Premier League,7.00.,2008,
107,Pablo Piatti,19,UD Almeria,Estudiantes,LaLiga,Torneo Final,7.00.,2008,
108,Rio Mavuba,24,LOSC Lille,Villarreal CF,Ligue 1,LaLiga,7.00.,2008,
109,Dario Cvitanich,24,AFC Ajax,CA Banfield,Eredivisie,Torneo Final,7.00.,2008,
110,Andrea Raggi,24,US Palermo,FC Empoli,Serie A,Serie B,7.00.,2008,
111,Dave Kitson,28,Stoke City,Reading,Premier League,Championship,7.00.,2008,
112,Zoran Tosic,21,Man Utd,Partizan,Premier League,SuperLiga,7.00.,2008,
113,Daniel Osvaldo,23,Bologna,Fiorentina,Serie A,Serie A,7.00.,2008,
114,Cristian Rodriguez,22,FC Porto,Paris SG,Liga NOS,Ligue 1,7.00.,2008,
115,Lautaro Acosta,20,Sevilla FC,CA Lanus,LaLiga,Torneo Final,7.00.,2008,
116,Sidnei,18,Benfica,Internacional,Liga NOS,Serie A,7.00.,2008,
117,empty,30,Al-Gharafa,Internacional,Qatar,Serie A,7.00.,2008,
118,Daniele Dessena,21,Sampdoria,Parma,Serie A,Serie B,6.70.,2008,
119,Federico Marchetti,25,Cagliari Calcio,UC AlbinoLeffe,Serie A,Serie B,6.70.,2008,
120,Sebastien Squillaci,27,Sevilla FC,Olympique Lyon,LaLiga,Ligue 1,6.50.,2008,
121,Yoan Gouffran,22,G. Bordeaux,SM Caen,Ligue 1,Ligue 1,6.50.,2008,
122,Jozy Altidore,18,Villarreal CF,NY Red Bulls,LaLiga,MLS,6.50.,2008,
123,Charles N'Zogbia,22,Wigan,Newcastle,Premier League,Premier League,6.40.,2008,
124,Aaron Ramsey,17,Arsenal,Cardiff,Premier League,Championship,6.40.,2008,
125,Fabrice Muamba,20,Bolton,Birmingham,Premier League,Championship,6.40.,2008,
126,Tal Ben Haim,26,Man City,Chelsea,Premier League,Premier League,6.40.,2008,
127,Valon Behrami,23,West Ham,Lazio,Premier League,Serie A,6.30.,2008,
128,Steve Sidwell,25,Aston Villa,Chelsea,Premier League,Premier League,6.30.,2008,
129,Younes Kaboul,22,Portsmouth FC,Spurs,Premier League,Premier League,6.25.,2008,
130,Alex Silva,23,Hamburger SV,Iraty SC,1.Bundesliga,Brazil,6.20.,2008,
131,Gokhan Unal,25,Trabzonspor,Kayserispor,Super Lig,Super Lig,6.20.,2008,
132,Marco Amelia,26,US Palermo,AS Livorno,Serie A,Serie B,6.00.,2008,
133,Fernando Meira,30,Zenit S-Pb,Galatasaray,Premier Liga,Super Lig,6.00.,2008,
134,Sebastien Puygrenier,26,Zenit S-Pb,AS Nancy,Premier Liga,Ligue 1,6.00.,2008,
135,Giovani dos Santos,19,Spurs,FC Barcelona,Premier League,LaLiga,6.00.,2008,
136,Gaby Mudingayi,26,Bologna,Lazio,Serie A,Serie A,6.00.,2008,
137,Dudu Cearense,25,Olympiacos,CSKA Moscow,Super League,Premier Liga,6.00.,2008,
138,Ognjen Vukojevic,24,Dynamo Kyiv,Dinamo Zagreb,Premier Liga,1.HNL,6.00.,2008,
139,Brandao,28,Marseille,Shakhtar D.,Ligue 1,Premier Liga,6.00.,2008,
140,Pele,20,FC Porto,Inter,Liga NOS,Serie A,6.00.,2008,
141,Roberto Soldado,23,Getafe CF,Real Madrid,LaLiga,LaLiga,6.00.,2008,
142,Aritz Aduriz,27,RCD Mallorca,Athletic Bilbao,LaLiga,LaLiga,6.00.,2008,
143,Nelson,25,Real Betis,Benfica,LaLiga,Liga NOS,6.00.,2008,
144,Mirel Radoi,26,Hilal,FCS Bucharest,Saudi Arabia,Liga 1,6.00.,2008,
145,Bare,26,Al-Ahli (UAE),Gamba Osaka,United Arab Emirates,J1 League,6.00.,2008,
146,Borja Valero,23,West Brom,RCD Mallorca,Premier League,LaLiga,5.90.,2008,
147,Jonas Gutierrez,25,Newcastle,RCD Mallorca,Premier League,LaLiga,5.80.,2008,
148,Jesus Datolo,24,SSC Napoli,Boca Juniors,Serie A,Torneo Final,5.70.,2008,
149,Xisco,22,Newcastle,Dep. La Coruna,Premier League,LaLiga,5.68.,2008,
150,Luis Jimenez,24,Inter,Ternana,Serie A,Serie C - B,5.50.,2008,
151,Marko Basa,25,Loko Moscow,Le Mans,Premier Liga,Ligue 1,5.50.,2008,
152,Joseba Llorente,28,Villarreal CF,Real Valladolid,LaLiga,LaLiga,5.50.,2008,
153,Milan Baros,26,Galatasaray,Olympique Lyon,Super Lig,Ligue 1,5.50.,2008,
154,George McCartney,27,Sunderland,West Ham,Premier League,Premier League,5.50.,2008,
155,Orlando Engelaar,28,FC Schalke 04,FC Twente,1.Bundesliga,Eredivisie,5.50.,2008,
156,Leandro Rinaudo,25,SSC Napoli,US Palermo,Serie A,Serie A,5.50.,2008,
157,Jimmy Bullard,30,Hull City,Fulham,Premier League,Premier League,5.30.,2008,
158,Mauro Boselli,23,Estudiantes,Boca Juniors,Torneo Final,Torneo Final,5.30.,2008,
159,Renato Augusto,20,Bay. Leverkusen,Flamengo,1.Bundesliga,Serie A,5.20.,2008,
160,John Arne Riise,27,AS Roma,Liverpool,Serie A,Premier League,5.00.,2008,
161,Raffaele Palladino,24,Genoa,Juventus,Serie A,Serie A,5.00.,2008,
162,Steed Malbranque,28,Sunderland,Spurs,Premier League,Premier League,5.00.,2008,
163,Guilherme,20,Dynamo Kyiv,Cruzeiro,Premier Liga,Serie A,5.00.,2008,
164,Alex,26,Spartak Moscow,Internacional,Premier Liga,Serie A,5.00.,2008,
165,Pascal Feindouno,27,Al-Sadd,Saint-Etienne,Qatar,Ligue 1,5.00.,2008,
166,Igor Budan,28,US Palermo,Parma,Serie A,Serie B,5.00.,2008,
167,Igor Semshov,30,Zenit S-Pb,Dinamo Moscow,Premier Liga,Premier Liga,5.00.,2008,
168,Gerard Pique,21,FC Barcelona,Man Utd,LaLiga,Premier League,5.00.,2008,
169,Khalid Boulahrouz,26,VfB Stuttgart,Chelsea,1.Bundesliga,Premier League,5.00.,2008,
170,Steve Savidan,30,SM Caen,Valenciennes FC,Ligue 1,Ligue 1,5.00.,2008,
171,Hilton,30,Marseille,Lens,Ligue 1,Ligue 2,5.00.,2008,
172,Didier Digard,21,Middlesbrough,Paris SG,Premier League,Ligue 1,5.00.,2008,
173,Nicolas Pareja,24,Espanyol,RSC Anderlecht,LaLiga,Jupiler Pro League,5.00.,2008,
174,Charles,23,Loko Moscow,Cruzeiro,Premier Liga,Serie A,5.00.,2008,
175,Karim El Ahmadi,23,Feyenoord,FC Twente,Eredivisie,Eredivisie,5.00.,2008,
176,Renan,23,Valencia CF,Internacional,LaLiga,Serie A,5.00.,2008,
177,Cristian Sapunaru,24,FC Porto,Rapid Bucharest,Liga NOS,Liga 1,5.00.,2008,
178,Marcus Diniz,21,AC Milan,AS Livorno,Serie A,Serie B,5.00.,2008,
179,Davide Astori,21,Cagliari Calcio,AC Milan,Serie A,Serie A,5.00.,2008,
180,Hugo Rodallega,23,Wigan,Necaxa,Premier League,Liga MX Clausura,4.80.,2008,
181,Gianluca Comotto,29,Fiorentina,Torino,Serie A,Serie A,4.80.,2008,
182,Andrea Lazzari,23,Cagliari Calcio,Atalanta,Serie A,Serie A,4.80.,2008,
183,Moussa Maazou,20,CSKA Moscow,KSC Lokeren,Premier Liga,Jupiler Pro League,4.80.,2008,
184,Ruben de la Red,23,Real Madrid,Getafe CF,LaLiga,LaLiga,4.70.,2008,
185,Fernando Navarro,26,Sevilla FC,RCD Mallorca,LaLiga,LaLiga,4.70.,2008,
186,Rafael Carioca,19,Spartak Moscow,Gremio,Premier Liga,Serie A,4.70.,2008,
187,Tomas Sivok,24,Besiktas,Udinese Calcio,Super Lig,Serie A,4.70.,2008,
188,Djiby Fall,23,Loko Moscow,Odense BK,Premier Liga,Superligaen,4.70.,2008,
189,Giuliano,18,Internacional,Parana,Serie A,Serie B,4.70.,2008,
190,Fernando Meira,30,Galatasaray,VfB Stuttgart,Super Lig,1.Bundesliga,4.50.,2008,
191,Emre Belozoglu,27,Fenerbahce,Newcastle,Super Lig,Premier League,4.50.,2008,
192,Fabian Ernst,29,Besiktas,FC Schalke 04,Super Lig,1.Bundesliga,4.50.,2008,
193,Frederic Piquionne,29,Olympique Lyon,Monaco,Ligue 1,Ligue 1,4.50.,2008,
194,Kevin Nolan,26,Newcastle,Bolton,Premier League,Premier League,4.50.,2008,
195,Francesco Modesto,26,Genoa,Reggina,Serie A,Serie A,4.50.,2008,
196,Maurizio Domizzi,28,Udinese Calcio,SSC Napoli,Serie A,Serie A,4.50.,2008,
197,Marat Izmailov,25,Sporting CP,Loko Moscow,Liga NOS,Premier Liga,4.50.,2008,
198,Nadir Belhadj,26,Portsmouth FC,Lens,Premier League,Ligue 2,4.50.,2008,
199,Jaime Gavilan,23,Getafe CF,Valencia CF,LaLiga,LaLiga,4.50.,2008,
200,Tomas Necid,19,CSKA Moscow,Slavia Prag,Premier Liga,HET Liga,4.50.,2008,
201,Neven Subotic,19,Bor. Dortmund,1.FSV Mainz 05,1.Bundesliga,2.Bundesliga,4.50.,2008,
202,Pedro Geromel,22,1. FC Koln,Vit. Guimaraes,1.Bundesliga,Liga NOS,4.50.,2008,
203,Stefan Radu,21,Lazio,Dinamo Bukarest,Serie A,Liga 1,4.50.,2008,
204,Kyle Lafferty,20,Rangers,Burnley,Premiership,Championship,4.50.,2008,
205,Wellington,20,TSG Hoffenheim,Internacional,1.Bundesliga,Serie A,4.50.,2008,
206,Tomas Zapotocny,27,Besiktas,Udinese Calcio,Super Lig,Serie A,4.50.,2008,
207,Nicky Shorey,27,Aston Villa,Reading,Premier League,Championship,4.40.,2008,
208,Paul Robinson,28,Blackburn,Spurs,Premier League,Premier League,4.40.,2008,
209,Andres D'Alessandro,27,Internacional,San Lorenzo,Serie A,Torneo Final,4.40.,2008,
210,Olivier Kapo,27,Wigan,Birmingham,Premier League,Championship,4.40.,2008,
211,Lee Cattermole,20,Wigan,Middlesbrough,Premier League,Premier League,4.40.,2008,
212,Diego Cavalieri,25,Liverpool,Palmeiras,Premier League,Serie A,4.40.,2008,
213,Roman Adamov,26,Rubin Kazan,FK Moskau,Premier Liga,Premier Liga,4.30.,2008,
214,Marco Bernacci,24,Bologna,AC Cesena,Serie A,Serie C - A,4.30.,2008,
215,Danny Guthrie,21,Newcastle,Liverpool,Premier League,Premier League,4.30.,2008,
216,Fernando Tissone,21,Udinese Calcio,Atalanta,Serie A,Serie A,4.20.,2008,
217,Bobby Zamora,27,Fulham,West Ham,Premier League,Premier League,4.10.,2008,
218,Javier Arizmendi,24,Real Zaragoza,Valencia CF,LaLiga2,LaLiga,4.00.,2008,
219,Tulio de Melo,23,LOSC Lille,US Palermo,Ligue 1,Serie A,4.00.,2008,
220,Zvjezdan Misimovic,26,VfL Wolfsburg,1.FC Nuremberg,1.Bundesliga,2.Bundesliga,4.00.,2008,
221,Scott Carson,22,West Brom,Liverpool,Premier League,Premier League,4.00.,2008,
222,Alejandro Dominguez,27,Rubin Kazan,Zenit S-Pb,Premier Liga,Premier Liga,4.00.,2008,
223,Javi Garcia,21,Real Madrid,CA Osasuna,LaLiga,LaLiga,4.00.,2008,
224,Sylvain Monsoreau,27,Saint-Etienne,Monaco,Ligue 1,Ligue 1,4.00.,2008,
225,Alanzinho,25,Trabzonspor,Stabaek IF,Super Lig,Eliteserien,4.00.,2008,
226,Robert Vittek,26,LOSC Lille,1.FC Nuremberg,Ligue 1,2.Bundesliga,4.00.,2008,
227,Javier Balboa,23,Benfica,Real Madrid,Liga NOS,LaLiga,4.00.,2008,
228,Vince Grella,28,Blackburn,Torino,Premier League,Serie A,4.00.,2008,
229,Gianni Zuiverloon,21,West Brom,Heerenveen,Premier League,Eredivisie,4.00.,2008,
230,James Beattie,30,Stoke City,Sheffield Utd.,Premier League,Championship,4.00.,2008,
231,Maurice Edu,22,Rangers,Toronto FC,Premiership,MLS,4.00.,2008,
232,Ismail Aissati,19,AFC Ajax,PSV Eindhoven,Eredivisie,Eredivisie,4.00.,2008,
233,Simon Kjaer,19,US Palermo,FC Midtjylland,Serie A,Superligaen,4.00.,2008,
234,Stef Nijland,19,PSV Eindhoven,FC Groningen,Eredivisie,Eredivisie,4.00.,2008,
235,Ola Toivonen,22,PSV Eindhoven,Malmo,Eredivisie,Allsvenskan,4.00.,2008,
236,Marvin Emnes,20,Middlesbrough,Sparta R.,Premier League,Eredivisie,4.00.,2008,
237,Diego Souza,24,Kyoto Sanga,Tokyo Verdy,J1 League,J2 League,4.00.,2008,
238,Joffre Guerron,23,Getafe CF,LDU Quito,LaLiga,Ecuador,4.00.,2008,
239,Miguel Britos,23,Bologna,Wanderers,Serie A,Uruguay,4.00.,2008,
240,Daniele Vantaggiato,24,Parma,Rimini,Serie B,Serie B,3.93.,2008,
241,Michael Gravgaard,30,FC Nantes,FC Copenhagen,Ligue 1,Superligaen,3.90.,2008,
242,Marcelo Mattos,24,Panathinaikos,Corinthians,Super League,Serie B,3.80.,2008,
243,Steven Davis,23,Rangers,Fulham,Premiership,Premier League,3.80.,2008,
244,Esteban Solari,28,UD Almeria,Pumas,LaLiga,Liga MX Clausura,3.80.,2008,
245,Sokratis,20,Genoa,AEK Athens,Serie A,Super League,3.80.,2008,
246,Seyi Olofinjana,28,Stoke City,Wolves,Premier League,Championship,3.80.,2008,
247,Philippe Coutinho,16,Inter,Vasco U20,Serie A,Brazil,3.80.,2008,
248,John Paintsil,27,Fulham,West Ham,Premier League,Premier League,3.80.,2008,
249,Justin Hoyte,23,Middlesbrough,Arsenal,Premier League,Premier League,3.80.,2008,
250,Abel Hernandez,18,US Palermo,Penarol,Serie A,Uruguay,3.80.,2008,
1,Cristiano Ronaldo,24,Real Madrid,Man Utd,LaLiga,Premier League,94.00.,2009,
2,Zlatan Ibrahimovic,27,FC Barcelona,Inter,LaLiga,Serie A,69.50.,2009,
3,Kaka,27,Real Madrid,AC Milan,LaLiga,Serie A,65.00.,2009,
4,Xabi Alonso,27,Real Madrid,Liverpool,LaLiga,Premier League,35.40.,2009,
5,Karim Benzema,21,Real Madrid,Olympique Lyon,LaLiga,Ligue 1,35.00.,2009,
6,Mario Gomez,23,Bayern Munich,VfB Stuttgart,1.Bundesliga,1.Bundesliga,30.00.,2009,
7,Emmanuel Adebayor,25,Man City,Arsenal,Premier League,Premier League,29.00.,2009,
8,Carlos Tevez,25,Man City,West Ham,Premier League,Premier League,29.00.,2009,
9,Joleon Lescott,27,Man City,Everton,Premier League,Premier League,27.50.,2009,
10,Diego,24,Juventus,Werder Bremen,Serie A,1.Bundesliga,27.00.,2009,
11,Diego Milito,30,Inter,Genoa,Serie A,Serie A,25.00.,2009,
12,Dmytro Chygrynskiy,22,FC Barcelona,Shakhtar D.,LaLiga,Premier Liga,25.00.,2009,
13,Felipe Melo,26,Juventus,Fiorentina,Serie A,Serie A,25.00.,2009,
14,Arjen Robben,25,Bayern Munich,Real Madrid,1.Bundesliga,LaLiga,24.00.,2009,
15,Lisandro Lopez,26,Olympique Lyon,FC Porto,Ligue 1,Liga NOS,24.00.,2009,
16,Roque Santa Cruz,27,Man City,Blackburn,Premier League,Premier League,21.20.,2009,
17,Yuri Zhirkov,25,Chelsea,CSKA Moscow,Premier League,Premier Liga,21.00.,2009,
18,Glen Johnson,24,Liverpool,Portsmouth FC,Premier League,Premier League,20.50.,2009,
19,Mauro Zarate,22,Lazio,Al-Sadd,Serie A,Qatar,20.20.,2009,
20,Samuel Eto'o,28,Inter,FC Barcelona,Serie A,LaLiga,20.00.,2009,
21,Alberto Aquilani,25,Liverpool,AS Roma,Premier League,Serie A,20.00.,2009,
22,Lucho Gonzalez,28,Marseille,FC Porto,Ligue 1,Liga NOS,19.00.,2009,
23,Antonio Valencia,23,Man Utd,Wigan,Premier League,Premier League,18.90.,2009,
24,Kolo Toure,28,Man City,Arsenal,Premier League,Premier League,18.70.,2009,
